machine_id,asset_type,current_cycle_index
IM01_Toshiba_390t,Injection_Molding,0
IM02_Toshiba_390t,Injection_Molding,0
IM03_Toshiba_390t,Injection_Molding,0
IM04_Toshiba_390t,Injection_Molding,0
IM05_Toshiba_390t,Injection_Molding,0
IM06_Toshiba_390t,Injection_Molding,0
IM07_Toshiba_390t,Injection_Molding,0
IM08_Toshiba_390t,Injection_Molding,0
IM09_Toshiba_390t,Injection_Molding,0
IM10_Toshiba_390t,Injection_Molding,0
IM11_Toshiba_390t,Injection_Molding,0
IM12_Toshiba_390t,Injection_Molding,0
IM13_Toshiba_390t,Injection_Molding,0
IM14_Toshiba_390t,Injection_Molding,0
IM15_Toshiba_390t,Injection_Molding,0
IM16_Toshiba_390t,Injection_Molding,0
IM17_Toshiba_390t,Injection_Molding,0
IM18_Toshiba_390t,Injection_Molding,0
VM01_Buhler_Met,Vacuum_Metallizer,0
VM02_Buhler_Met,Vacuum_Metallizer,0
VM03_Buhler_Met,Vacuum_Metallizer,0
